_id,index,guid,isActive,balance,picture,age,eyeColor,name,gender,company,email,phone,address,about,registered,latitude,longitude,greeting,favoriteFruit
5b5f3bd340cdf6806346b3ef,0,b2af2ad2-c6e1-4e81-94ae-5b4ac185c9df,False,"$3,613.61",http://placehold.it/32x32,29,brown,Myrna Davis,female,MYOPIUM,myrnadavis@myopium.com,+1 (952) 510-2371,"331 Stryker Street, Harold, Nevada, 1732","Ex Lorem laboris veniam sunt in veniam commodo laboris deserunt exercitation aute consequat irure. Ex laborum ea proident cillum incididunt exercitation deserunt reprehenderit. Aute deserunt minim ex do incididunt exercitation laboris ut pariatur ipsum cupidatat do. Ut in anim dolor irure irure consequat magna duis consequat labore. Mollit cillum consequat proident est dolore. Eiusmod nisi nisi non aliqua ea dolore laboris exercitation commodo incididunt irure. Voluptate nostrud magna veniam tempor Lorem consectetur ullamco sit ut occaecat id.
",02/05/2016 10.57.17,-11.069287,79.725586,"Hello, Myrna Davis! You have 2 unread messages.",banana
5b5f3bd36b43daa0d1d62bcb,1,0298584-6a0f-402c-bbeb-f03a3b9e4126,False,"$2,978.35",http://placehold.it/32x32,28,green,Holloway Humphrey,male,GLASSTEP,hollowayhumphrey@glasstep.com,+1 (945) 475-3330,"515 Mersereau Court, Blandburg, Palau, 4788","Excepteur mollit minim enim proident. Ea minim magna ad sit irure ex cillum sint proident qui adipisicing dolore anim sit. Aliquip pariatur ut consectetur dolor.
",13/05/2016 08.29.45,-62.890792,33.629095,"Hello, Holloway Humphrey! You have 1 unread messages.",apple
5b5f3bd33c4a4268052e0e32,2,e4ee6e-995a-4fa1-8e4-539c52045a9,True,"$3,709.53",http://placehold.it/32x32,32,blue,Fran Kane,female,VISUALIX,frankane@visualix.com,+1 (866) 494-2940,"194 Garden Place, Bangor, Hawaii, 7146","Tempor ullamco dolore proident ad eu occaecat eiusmod proident voluptate. Qui proident mollit ut cillum Lorem excepteur ad minim ad enim cillum Lorem veniam pariatur. Duis aute occaecat labore ut deserunt elit ea reprehenderit ex veniam velit. Tempor cillum Lorem aliqua aute aute excepteur. Incididunt ut labore fugiat sit do ut sit incididunt minim id deserunt ea duis. Minim qui in tempor eiusmod. Dolore aliqua labore quis laborum qui nostrud.
",13/02/2016 10.48.39,43.546945,-83.251194,"Hello, Fran Kane! You have 2 unread messages.",apple
5b5f3bd3593657fdccab2f94,3,08f95835-d660-4a90-9c1-435dca0e3ff,False,"$2,646.32",http://placehold.it/32x32,26,brown,Estela Harris,female,ZYTREK,estelaharris@zytrek.com,+1 (909) 559-3071,"171 Nolans Lane, Winesburg, Oklahoma, 6053","Et nulla aute eiusmod fugiat qui. Lorem anim ullamco laboris aliqua culpa incididunt consequat ea quis. Do eu fugiat esse aliqua esse commodo. Voluptate deserunt non nulla voluptate.
",01/08/2016 02.15.58,8.034217,-158.826622,"Hello, Estela Harris! You have 10 unread messages.",strawberry
5b5f3bd308de6173d2f93461,4,28228d9-a9c3-400-9101-c251c08544,False,"$1,091.72",http://placehold.it/32x32,22,brown,Richards Nicholson,male,BIOSPAN,richardsnicholson@biospan.com,+1 (865) 523-3851,"647 Withers Street, Manila, New Hampshire, 1674","Dolore cupidatat mollit elit commodo enim minim veniam laboris enim. Amet cupidatat id laborum do tempor id sunt veniam nostrud veniam incididunt aliquip incididunt. Ipsum veniam consectetur ipsum minim elit eiusmod eiusmod aliqua esse quis cupidatat duis aliqua cupidatat. Eu in laborum enim proident duis sit laboris commodo et exercitation sunt qui irure et.
",12/09/2016 06.31.14,33.164263,12.347101,"Hello, Richards Nicholson! You have 2 unread messages.",apple
5b5f3bd3ce1f1cbac394d99d,5,6923f063-dd32-4c4d-94d-09b45836c102,False,"$2,206.86",http://placehold.it/32x32,34,brown,Jean Cline,female,TECHADE,jeancline@techade.com,+1 (983) 526-3236,"167 Bergen Court, Mapletown, Washington, 4667","Ea cillum dolor do laboris in do mollit deserunt officia aliqua id. Anim velit occaecat sunt occaecat dolore consequat nulla non do voluptate est. Cillum tempor incididunt tempor amet nisi ea duis.
",20/06/2016 10.41.04,84.461666,165.392205,"Hello, Jean Cline! You have 6 unread messages.",apple
5b5f3bd3b3955f894aeb248f,6,bd5894a1-c0d6-435d-95-335f25e116,False,"$3,549.13",http://placehold.it/32x32,22,brown,Hopper Diaz,male,MOREGANIC,hopperdiaz@moreganic.com,+1 (992) 489-3004,"970 Grand Street, Hayes, Mississippi, 2347","Aliquip esse tempor incididunt irure veniam voluptate elit tempor voluptate do. Consequat sit eiusmod eu proident consequat. Elit voluptate pariatur labore sunt sit nostrud sint incididunt. In ullamco sit culpa laborum nulla eiusmod Lorem sunt qui enim id. Exercitation amet velit sunt duis et elit. Occaecat consectetur id ut commodo duis adipisicing elit aliquip dolor id anim esse. Duis qui commodo do incididunt reprehenderit magna consectetur quis excepteur.
",17/05/2016 09.04.05,-83.938223,49.65483,"Hello, Hopper Diaz! You have 8 unread messages.",apple
5b5f3bd3b8bac9ffdd18fa94,7,a40cffa4-5102-4eee-8bbd-b8b5498f54,False,"$3,599.10",http://placehold.it/32x32,30,blue,Morrow Russo,male,ZENSURE,morrowrusso@zensure.com,+1 (942) 508-2034,"404 Moffat Street, Caln, Delaware, 2236","Qui aliquip tempor non excepteur excepteur aute cillum voluptate in reprehenderit deserunt exercitation sit qui. Irure deserunt ad id reprehenderit eu non occaecat incididunt veniam consectetur aliquip. Ea cupidatat anim culpa sunt quis consequat consequat fugiat veniam enim esse. Ipsum magna ipsum veniam sunt adipisicing duis nisi. Aliquip aute mollit nulla ad nulla magna et culpa veniam voluptate. In nostrud cillum ex tempor anim exercitation irure do amet labore eu. Cupidatat ut ipsum dolor voluptate deserunt eiusmod irure.
",14/06/2016 12.50.42,-55.581551,-0.5224,"Hello, Morrow Russo! You have 1 unread messages.",banana
5b5f3bd396f22d8277adb9a4,8,50ad9ad2-a65-4bf5-9b9d-9d25be3c66e0,False,"$2,994.19",http://placehold.it/32x32,32,brown,Gill Casey,male,ROCKLOGIC,gillcasey@rocklogic.com,+1 (908) 582-2369,"166 Olive Street, Munjor, Puerto Rico, 9972","Cupidatat amet proident cupidatat officia ipsum nulla anim ea id cupidatat cupidatat quis esse nulla. Id anim sint exercitation velit. Irure sit veniam id excepteur anim magna non eu est sunt. Dolor pariatur aliqua aliquip elit anim dolor pariatur consectetur nulla laboris do enim.
",21/06/2016 01.50.21,34.154316,145.363239,"Hello, Gill Casey! You have 5 unread messages.",apple
5b5f3bd3fc9920d1a190aca4,9,0d23d5c9-9342-49b8-b0eb-da2b530fed8,False,"$3,767.35",http://placehold.it/32x32,40,brown,Alvarez Everett,male,AVIT,alvarezeverett@avit.com,+1 (891) 403-2947,"615 Pierrepont Street, Mulberry, North Carolina, 1757","Aute velit reprehenderit deserunt voluptate aute. Do amet duis sint eiusmod velit ad consequat. Non ad ea proident proident cupidatat excepteur cupidatat dolore. Fugiat et quis pariatur proident consectetur sint cupidatat sint. Nostrud incididunt incididunt ipsum ullamco velit anim laboris sunt proident excepteur magna anim.
",27/10/2014 05.27.38,64.24,124.958447,"Hello, Alvarez Everett! You have 10 unread messages.",strawberry
